Entity,Code,Year,Tobacco smoking
Brazil,BRA,2006,128483
Brazil,BRA,2010,128433
Brazil,BRA,2016,131903
Brunei,BRN,1990,114
Brunei,BRN,1995,127
Brunei,BRN,2000,114
Brunei,BRN,2005,131
Brunei,BRN,2006,137
Brunei,BRN,2010,156
Brunei,BRN,2016,213
Bulgaria,BGR,1990,18242
Bulgaria,BGR,1995,19170
Bulgaria,BGR,2000,18051
Bulgaria,BGR,2005,17813
Bulgaria,BGR,2006,17715
Bulgaria,BGR,2010,16199
Bulgaria,BGR,2016,14910
Burkina Faso,BFA,1990,3015
Burkina Faso,BFA,1995,3280
Burkina Faso,BFA,2000,3785
Burkina Faso,BFA,2005,4090
Burkina Faso,BFA,2006,4128
Burkina Faso,BFA,2010,3715
Burkina Faso,BFA,2016,3588
Burundi,BDI,1990,2159
Burundi,BDI,1995,2249
Burundi,BDI,2000,1899
Burundi,BDI,2005,1683
Burundi,BDI,2006,1670
Burundi,BDI,2010,1730
Burundi,BDI,2016,2051
Cambodia,KHM,1990,7623
Cambodia,KHM,1995,9120
Cambodia,KHM,2000,10402
Cambodia,KHM,2005,11517
Cambodia,KHM,2006,11453
Cambodia,KHM,2010,11913
Cambodia,KHM,2016,13201
Cameroon,CMR,1990,3327
Cameroon,CMR,1995,3890
Cameroon,CMR,2000,4916
Cameroon,CMR,2005,5446
Cameroon,CMR,2006,5525
Cameroon,CMR,2010,5900
Cameroon,CMR,2016,6681
Canada,CAN,1990,40579
Canada,CAN,1995,42562
Canada,CAN,2000,42655
Canada,CAN,2005,43230
Canada,CAN,2006,43267
Canada,CAN,2010,42588
Canada,CAN,2016,45947
Cape Verde,CPV,1990,136
Cape Verde,CPV,1995,150
Cape Verde,CPV,2000,157
Cape Verde,CPV,2005,186
Cape Verde,CPV,2006,190
Cape Verde,CPV,2010,204
Cape Verde,CPV,2016,201
Caribbean,,1990,26340
Caribbean,,1995,28469
Caribbean,,2000,29594
Caribbean,,2005,30609
Caribbean,,2006,30828
Caribbean,,2010,31703
Caribbean,,2016,33828
Central African Republic,CAF,1990,1484
Central African Republic,CAF,1995,1737
Central African Republic,CAF,2000,1956
Central African Republic,CAF,2005,2076
Central African Republic,CAF,2006,2112
Central African Republic,CAF,2010,2269
Central African Republic,CAF,2016,2649
Central Asia,,1990,60281
Central Asia,,1995,72127
Central Asia,,2000,68376
Central Asia,,2005,72307
Central Asia,,2006,72051
Central Asia,,2010,66990
Central Asia,,2016,64419
Central Europe,,1990,236352
Central Europe,,1995,240781
Central Europe,,2000,229657
Central Europe,,2005,226755
Central Europe,,2006,226218
Central Europe,,2010,223553
Central Europe,,2016,206558
Central Sub-Saharan Africa,,1990,14930
Central Sub-Saharan Africa,,1995,17302
Central Sub-Saharan Africa,,2000,19021
Central Sub-Saharan Africa,,2005,20010
Central Sub-Saharan Africa,,2006,20445
Central Sub-Saharan Africa,,2010,23288
Central Sub-Saharan Africa,,2016,28206
Chad,TCD,1990,1432
Chad,TCD,1995,1650
Chad,TCD,2000,2151
Chad,TCD,2005,2338
Chad,TCD,2006,2368
Chad,TCD,2010,2702
Chad,TCD,2016,3022
Chile,CHL,1990,9203
Chile,CHL,1995,9115
Chile,CHL,2000,8663
Chile,CHL,2005,9231
Chile,CHL,2006,9190
Chile,CHL,2010,10008
Chile,CHL,2016,10828
China,CHN,1990,1402682
China,CHN,1995,1593362
China,CHN,2000,1766872
China,CHN,2005,1826367
China,CHN,2006,1762405
China,CHN,2010,1784484
China,CHN,2016,1759072
Colombia,COL,1990,14223
Colombia,COL,1995,15766
Colombia,COL,2000,16773
Colombia,COL,2005,18324
Colombia,COL,2006,19096
Colombia,COL,2010,19326
Colombia,COL,2016,18475
Comoros,COM,1990,138
Comoros,COM,1995,153
Comoros,COM,2000,152
Comoros,COM,2005,147
Comoros,COM,2006,150
Comoros,COM,2010,152
Comoros,COM,2016,154
Congo,COG,1990,1165
Congo,COG,1995,1286
Congo,COG,2000,1202
Congo,COG,2005,1000
Congo,COG,2006,1000
Congo,COG,2010,1046
Congo,COG,2016,1246
Costa Rica,CRI,1990,742
Costa Rica,CRI,1995,860
Costa Rica,CRI,2000,1023
Costa Rica,CRI,2005,978
Costa Rica,CRI,2006,935
Costa Rica,CRI,2010,899
Costa Rica,CRI,2016,1015
Cote d'Ivoire,CIV,1990,3446
Cote d'Ivoire,CIV,1995,4755
Cote d'Ivoire,CIV,2000,5154
Cote d'Ivoire,CIV,2005,5147
Cote d'Ivoire,CIV,2006,5228
Cote d'Ivoire,CIV,2010,5531
Cote d'Ivoire,CIV,2016,6606
Croatia,HRV,1990,11028
Croatia,HRV,1995,10516
Croatia,HRV,2000,9831
Croatia,HRV,2005,9129
Croatia,HRV,2006,9057
Croatia,HRV,2010,8812
Croatia,HRV,2016,8515
Cuba,CUB,1990,13686
Cuba,CUB,1995,14386
Cuba,CUB,2000,14985
Cuba,CUB,2005,16113
Cuba,CUB,2006,16285
Cuba,CUB,2010,16816
Cuba,CUB,2016,18044
Cyprus,CYP,1990,661
Cyprus,CYP,1995,701
Cyprus,CYP,2000,692
Cyprus,CYP,2005,767
Cyprus,CYP,2006,750
Cyprus,CYP,2010,820
Cyprus,CYP,2016,836
Czech Republic,CZE,1990,23843
Czech Republic,CZE,1995,21026
Czech Republic,CZE,2000,19413
Czech Republic,CZE,2005,18223
Czech Republic,CZE,2006,17851
Czech Republic,CZE,2010,17637
Czech Republic,CZE,2016,15938
Democratic Republic of Congo,COD,1990,8520
Democratic Republic of Congo,COD,1995,10111
Democratic Republic of Congo,COD,2000,11692
Democratic Republic of Congo,COD,2005,12548
Democratic Republic of Congo,COD,2006,12867
Democratic Republic of Congo,COD,2010,15147
Democratic Republic of Congo,COD,2016,18509
Denmark,DNK,1990,14594
Denmark,DNK,1995,14939
Denmark,DNK,2000,13990
Denmark,DNK,2005,13235
Denmark,DNK,2006,13025
Denmark,DNK,2010,12199
