Entity,Code,Year,Dollars
Ireland,IRL,2014,11.16
Australia,AUS,2014,10.64
New Zealand,NZL,2014,10.61
Iceland,ISL,2014,8.89
Canada,CAN,2014,6.88
Sweden,SWE,2014,6.5
Panama,PAN,2014,6.44
Spain,ESP,2014,6.39
Germany,DEU,2014,6.34
