Entity,Code,Year,Dollars
Ireland,IRL,2014,11.16
Australia,AUS,2014,10.64
New Zealand,NZL,2014,10.61
Iceland,ISL,2014,8.89
Canada,CAN,2014,6.88
Sweden,SWE,2014,6.5
Panama,PAN,2014,6.44
Spain,ESP,2014,6.39
Germany,DEU,2014,6.34
Bulgaria,BGR,2014,6.25
Dominican Republic,DOM,2014,6.25
Belgium,BEL,2014,6.08
United States,USA,2014,6.07
Portugal,PRT,2014,5.93
Greece,GRC,2014,5.75
Cyprus,CYP,2014,5.52
South Africa,ZAF,2014,5.48
Italy,ITA,2014,5.43
Finland,FIN,2014,5.42
Chile,CHL,2014,5.21
Switzerland,CHE,2014,5.08
Slovakia,SVK,2014,4.95
Morocco,MAR,2014,4.81
Denmark,DNK,2014,4.73
