Entity,Code,Year,Dollars
Argentina,ARG,2014,3.47
Australia,AUS,2014,10.64
Azerbaijan,AZE,2014,2.7
Bangladesh,BGD,2014,1.54
Belgium,BEL,2014,6.08
Bolivia,BOL,2014,2.82
Bosnia and Herzegovina,BIH,2014,3.86
Bulgaria,BGR,2014,6.25
Cambodia,KHM,2014,0.92
Canada,CAN,2014,6.88
Chile,CHL,2014,5.21
Colombia,COL,2014,1.81
Costa Rica,CRI,2014,3.63
Cyprus,CYP,2014,5.52
Denmark,DNK,2014,4.73
Dominican Republic,DOM,2014,6.25
Egypt,EGY,2014,2.69
Ethiopia,ETH,2014,1.97
Finland,FIN,2014,5.42
Gambia,GMB,2014,4.42
Germany,DEU,2014,6.34
Greece,GRC,2014,5.75
Guatemala,GTM,2014,3.22
Honduras,HND,2014,3.38
Iceland,ISL,2014,8.89
Indonesia,IDN,2014,2.68
Ireland,IRL,2014,11.16
Italy,ITA,2014,5.43
Japan,JPN,2014,4.34
Kenya,KEN,2014,1.78
Lebanon,LBN,2014,2.67
Luxembourg,LUX,2014,4.47
Macedonia,MKD,2014,3.05
Mali,MLI,2014,1.85
Moldova,MDA,2014,2.06
Morocco,MAR,2014,4.81
Nepal,NPL,2014,1.73
New Zealand,NZL,2014,10.61
Oman,OMN,2014,2.86
Panama,PAN,2014,6.44
Philippines,PHL,2014,1.86
Portugal,PRT,2014,5.93
Russia,RUS,2014,2.18
Senegal,SEN,2014,1.91
Sierra Leone,SLE,2014,1.58
Slovakia,SVK,2014,4.95
South Africa,ZAF,2014,5.48
Spain,ESP,2014,6.39
Sweden,SWE,2014,6.5
Switzerland,CHE,2014,5.08
Tunisia,TUN,2014,3.26
Uganda,UGA,2014,2.03
United Arab Emirates,ARE,2014,1.82
United States,USA,2014,6.07
Uzbekistan,UZB,2014,2.31
Yemen,YEM,2014,1.94
Zimbabwe,ZWE,2014,1.07
