Entity,Code,Year,70+ years old (deaths),5-14 years old (deaths),15-49 years old (deaths),50-69 years old (deaths),Under-5s (deaths)
Bahamas,BHS,2005,9.04007152239,0.061306760653,2.55634632402,6.49212281452,0.640894038804
Bahamas,BHS,2006,9.45486918179,0.0612135229961,2.47022342886,6.65826714953,0.647821511927
Bahamas,BHS,2010,11.3136274204,0.0556846573294,3.06974783997,7.92008500787,0.669930875517
Bahamas,BHS,2016,15.3660022749,0.0477945785886,3.28026206443,10.9368183206,0.613657806555
Bahrain,BHR,1990,14.7365370243,0.205026326732,4.47697495616,15.958185077,2.98631474972
Bahrain,BHR,1995,19.9047533043,0.211190438192,4.95498664705,18.3962199533,2.04688835958
Bahrain,BHR,2000,22.3886493438,0.255330977132,6.64465493793,19.8202177881,1.50896294917
Bahrain,BHR,2005,26.3549703763,0.31404580807,8.19088090357,22.1005473476,1.7004070624
Bahrain,BHR,2006,27.2584261823,0.319211707156,8.72094409007,23.1482727729,1.73175609897
Bahrain,BHR,2010,30.1589716279,0.273726315907,9.7864002573,27.9748470335,1.40776543583
Bahrain,BHR,2016,34.7964359109,0.253379793673,9.73335172852,35.1004649399,1.06687495354
Bangladesh,BGD,1990,2716.84042132,291.944682551,1026.84244498,2910.4870314,10385.0773432
Bangladesh,BGD,1995,3002.22124495,213.060158638,946.925532327,2866.39503915,6426.99883857
Bangladesh,BGD,2000,3798.98609438,173.788516132,1028.11185057,3125.30040902,4754.20203474
Bangladesh,BGD,2005,5530.42193633,135.252726104,1522.42029754,3760.34944012,3720.79292034
Bangladesh,BGD,2006,5690.63628467,126.014633647,1561.67102758,3695.98658538,3385.43021293
Bangladesh,BGD,2010,6448.39864252,94.6771314878,1737.17450555,3495.04795763,2207.45355977
Bangladesh,BGD,2016,7905.06457336,61.4585992214,1736.27206434,3515.6145169,1193.61556651
Barbados,BRB,1990,11.4758456021,0.0480351782091,1.3464074946,5.12360179541,0.376908066036
Barbados,BRB,1995,13.1051027234,0.0418210545851,1.61740121047,5.59585864233,0.332750003539
Barbados,BRB,2000,12.9531016558,0.0396051308554,1.64271778716,5.41157592271,0.328060869783
Barbados,BRB,2005,12.4736402791,0.0358250973504,1.68205721782,5.30951493007,0.328380980154
Barbados,BRB,2006,12.3223932204,0.0343138989609,1.65744698085,5.32691148487,0.309852550134
Barbados,BRB,2010,11.2641394931,0.0242394585464,1.49102379256,5.35356177137,0.251555972595
Barbados,BRB,2016,13.3020835263,0.0274844371047,1.37742489388,6.80322870325,0.230525334042
Belarus,BLR,1990,1806.98426166,5.38834287944,92.1278040522,853.978094198,91.5546019914
Belarus,BLR,1995,1737.04473622,3.53608765319,134.176995908,963.741601455,48.3016089008
Belarus,BLR,2000,1700.53296667,2.16969897192,138.146020182,847.498899505,29.8410428532
Belarus,BLR,2005,1824.27919648,1.3546763381,142.337976848,755.707105627,15.0126556458
Belarus,BLR,2006,1775.1313006,1.27667054381,133.031434978,711.246640852,13.1726829795
Belarus,BLR,2010,1686.80265948,1.19254209484,109.11264319,625.202125939,9.09076197859
Belarus,BLR,2016,1455.16774051,0.820765801036,62.3380125691,578.042579056,5.34884505677
Belgium,BEL,1990,851.916231224,1.01461277015,45.259407313,291.318150827,5.89382267139
Belgium,BEL,1995,813.954240679,0.861201732016,44.4287072632,240.053993534,3.68323935939
Belgium,BEL,2000,755.274546243,0.801287994723,39.3156031583,204.350048847,2.92616446261
Belgium,BEL,2005,644.482442251,0.656032732257,31.4394124846,161.142251009,2.63251235713
Belgium,BEL,2006,623.224031743,0.599754005768,30.4124165319,156.222749536,2.55338162991
Belgium,BEL,2010,591.604202039,0.505919907278,27.3792730016,152.150613551,2.50378264043
Belgium,BEL,2016,602.193832494,0.459681475211,23.17096615,157.511800617,2.13670457856
Belize,BLZ,1990,6.22746634962,0.295021284809,1.35224612026,3.43477805465,4.72031056131
Belize,BLZ,1995,7.24251647254,0.290486326934,1.70953383003,4.3774912458,2.31889355061
Belize,BLZ,2000,7.56487814178,0.206136836469,1.82589497582,4.59058927063,1.9495322008
Belize,BLZ,2005,6.83354843147,0.172110740925,1.88167703804,4.11030232623,1.49640269685
Belize,BLZ,2006,6.83906555973,0.162891390005,1.91669510199,4.20212525552,1.36419238871
Belize,BLZ,2010,6.88351268959,0.162116552653,2.07137395016,5.02785925793,1.03214389849
Belize,BLZ,2016,7.14825150858,0.10650283102,2.14579187649,6.1358817452,0.915241177189
Benin,BEN,1990,85.6838923846,13.9522142791,34.033419964,77.3531455635,422.644856028
Benin,BEN,1995,101.284020372,16.3032175657,42.6949309193,92.6636108373,445.150287536
Benin,BEN,2000,96.0778106057,15.48700254,45.6199945239,94.8447114817,361.943899327
Benin,BEN,2005,93.3833737231,13.8150356747,48.0676472866,93.336670842,266.688367011
Benin,BEN,2006,93.3178656889,13.5333093897,48.4945506989,92.9863051062,250.678600893
Benin,BEN,2010,98.9789293304,13.2510666871,53.120474224,100.677810992,215.505700172
Benin,BEN,2016,112.108374674,10.6235861213,54.806472395,113.995671997,160.026837932
Bermuda,BMU,1990,4.3346605551,0.0078269523809,0.579704362497,2.39642298086,0.0803451166722
Bermuda,BMU,1995,4.77972724308,0.00561379383664,0.516468684293,2.18916362004,0.0633860274924
Bermuda,BMU,2000,4.68390314565,0.00261668868761,0.297786928788,1.86682695934,0.0231623265669
Bermuda,BMU,2005,3.76836312144,0.00314097354282,0.256042955941,1.39313808129,0.0385195659731
Bermuda,BMU,2006,3.74711338975,0.00338185066517,0.243861927497,1.38377661813,0.0427137809583
Bermuda,BMU,2010,3.29165339315,0.00252639091072,0.245911265368,1.20055531919,0.0292663711612
Bermuda,BMU,2016,2.84990205774,0.00225790019485,0.203359232408,1.14368741971,0.0202287797374
